games,summer,team,gold,silver,bronze,total,year
PyeongChang 2018,0.0,People's Republic of China,1,6,2,9,2018
PyeongChang 2018,0.0,Slovakia,1,2,0,3,2018
PyeongChang 2018,0.0,Finland,1,1,4,6,2018
PyeongChang 2018,0.0,Great Britain,1,0,4,5,2018
PyeongChang 2018,0.0,Poland,1,0,1,2,2018
PyeongChang 2018,0.0,Ukraine,1,0,0,1,2018
PyeongChang 2018,0.0,Hungary,1,0,0,1,2018
PyeongChang 2018,0.0,Australia,0,2,1,3,2018
PyeongChang 2018,0.0,Slovenia,0,1,1,2,2018
PyeongChang 2018,0.0,Belgium,0,1,0,1,2018
PyeongChang 2018,0.0,New Zealand,0,0,2,2,2018
PyeongChang 2018,0.0,Spain,0,0,2,2,2018
PyeongChang 2018,0.0,Kazakhstan,0,0,1,1,2018
PyeongChang 2018,0.0,Liechtenstein,0,0,1,1,2018
PyeongChang 2018,0.0,Latvia,0,0,1,1,2018
Tokyo 2020,1.0,United States of America,39,41,33,113,2020
Tokyo 2020,1.0,People's Republic of China,38,32,18,88,2020
Tokyo 2020,1.0,Japan,27,14,17,58,2020
Tokyo 2020,1.0,Great Britain,22,21,22,65,2020
Tokyo 2020,1.0,ROC,20,28,23,71,2020
Tokyo 2020,1.0,Australia,17,7,22,46,2020
Tokyo 2020,1.0,Netherlands,10,12,14,36,2020
Tokyo 2020,1.0,France,10,12,11,33,2020
Tokyo 2020,1.0,Germany,10,11,16,37,2020
Tokyo 2020,1.0,Italy,10,10,20,40,2020
Tokyo 2020,1.0,Canada,7,6,11,24,2020
Tokyo 2020,1.0,Brazil,7,6,8,21,2020
Tokyo 2020,1.0,New Zealand,7,6,7,20,2020
Tokyo 2020,1.0,Cuba,7,3,5,15,2020
Tokyo 2020,1.0,Hungary,6,7,7,20,2020
Tokyo 2020,1.0,Republic of Korea,6,4,10,20,2020
Tokyo 2020,1.0,Poland,4,5,5,14,2020
Tokyo 2020,1.0,Czech Republic,4,4,3,11,2020
Tokyo 2020,1.0,Kenya,4,4,2,10,2020
Tokyo 2020,1.0,Norway,4,2,2,8,2020
Tokyo 2020,1.0,Jamaica,4,1,4,9,2020
Tokyo 2020,1.0,Spain,3,8,6,17,2020
Tokyo 2020,1.0,Sweden,3,6,0,9,2020
Tokyo 2020,1.0,Switzerland,3,4,6,13,2020
Tokyo 2020,1.0,Denmark,3,4,4,11,2020
Tokyo 2020,1.0,Croatia,3,3,2,8,2020
Tokyo 2020,1.0,Islamic Republic of Iran,3,2,2,7,2020
Tokyo 2020,1.0,Serbia,3,1,5,9,2020
Tokyo 2020,1.0,Belgium,3,1,3,7,2020
Tokyo 2020,1.0,Bulgaria,3,1,2,6,2020
Tokyo 2020,1.0,Slovenia,3,1,1,5,2020
Tokyo 2020,1.0,Uzbekistan,3,0,2,5,2020
Tokyo 2020,1.0,Georgia,2,5,1,8,2020
Tokyo 2020,1.0,Chinese Taipei,2,4,6,12,2020
Tokyo 2020,1.0,Turkey,2,2,9,13,2020
Tokyo 2020,1.0,Greece,2,1,1,4,2020
Tokyo 2020,1.0,Uganda,2,1,1,4,2020
Tokyo 2020,1.0,Ecuador,2,1,0,3,2020
Tokyo 2020,1.0,Israel,2,0,2,4,2020
Tokyo 2020,1.0,Ireland,2,0,2,4,2020
Tokyo 2020,1.0,Qatar,2,0,1,3,2020
Tokyo 2020,1.0,Bahamas,2,0,0,2,2020
Tokyo 2020,1.0,Kosovo,2,0,0,2,2020
Tokyo 2020,1.0,Ukraine,1,6,12,19,2020
Tokyo 2020,1.0,Belarus,1,3,3,7,2020
Tokyo 2020,1.0,Venezuela,1,3,0,4,2020
Tokyo 2020,1.0,Romania,1,3,0,4,2020
Tokyo 2020,1.0,India,1,2,4,7,2020
Tokyo 2020,1.0,"Hong Kong, China",1,2,3,6,2020
Tokyo 2020,1.0,Slovakia,1,2,1,4,2020
Tokyo 2020,1.0,Philippines,1,2,1,4,2020
Tokyo 2020,1.0,South Africa,1,2,0,3,2020
Tokyo 2020,1.0,Austria,1,1,5,7,2020
Tokyo 2020,1.0,Egypt,1,1,4,6,2020
Tokyo 2020,1.0,Indonesia,1,1,3,5,2020
Tokyo 2020,1.0,Portugal,1,1,2,4,2020
Tokyo 2020,1.0,Ethiopia,1,1,2,4,2020
Tokyo 2020,1.0,Tunisia,1,1,0,2,2020
Tokyo 2020,1.0,Fiji,1,0,1,2,2020
Tokyo 2020,1.0,Latvia,1,0,1,2,2020
Tokyo 2020,1.0,Estonia,1,0,1,2,2020
Tokyo 2020,1.0,Thailand,1,0,1,2,2020
Tokyo 2020,1.0,Morocco,1,0,0,1,2020
Tokyo 2020,1.0,Puerto Rico,1,0,0,1,2020
Tokyo 2020,1.0,Bermuda,1,0,0,1,2020
Tokyo 2020,1.0,Colombia,0,4,1,5,2020
Tokyo 2020,1.0,Azerbaijan,0,3,4,7,2020
Tokyo 2020,1.0,Dominican Republic,0,3,2,5,2020
Tokyo 2020,1.0,Armenia,0,2,2,4,2020
Tokyo 2020,1.0,Kyrgyzstan,0,2,1,3,2020
Tokyo 2020,1.0,Mongolia,0,1,3,4,2020
Tokyo 2020,1.0,San Marino,0,1,2,3,2020
Tokyo 2020,1.0,Argentina,0,1,2,3,2020
Tokyo 2020,1.0,Malaysia,0,1,1,2,2020
Tokyo 2020,1.0,Nigeria,0,1,1,2,2020
Tokyo 2020,1.0,Jordan,0,1,1,2,2020
Tokyo 2020,1.0,Bahrain,0,1,0,1,2020
Tokyo 2020,1.0,Saudi Arabia,0,1,0,1,2020
Tokyo 2020,1.0,Lithuania,0,1,0,1,2020
Tokyo 2020,1.0,North Macedonia,0,1,0,1,2020
Tokyo 2020,1.0,Namibia,0,1,0,1,2020
Tokyo 2020,1.0,Turkmenistan,0,1,0,1,2020
Tokyo 2020,1.0,Kazakhstan,0,0,8,8,2020
Tokyo 2020,1.0,Mexico,0,0,4,4,2020
Tokyo 2020,1.0,Finland,0,0,2,2,2020
Tokyo 2020,1.0,Republic of Moldova,0,0,1,1,2020
Tokyo 2020,1.0,Grenada,0,0,1,1,2020
Tokyo 2020,1.0,Ghana,0,0,1,1,2020
Tokyo 2020,1.0,Burkina Faso,0,0,1,1,2020
Tokyo 2020,1.0,Côte d'Ivoire,0,0,1,1,2020
Tokyo 2020,1.0,Botswana,0,0,1,1,2020
Tokyo 2020,1.0,Kuwait,0,0,1,1,2020
Tokyo 2020,1.0,Syrian Arab Republic,0,0,1,1,2020
