games,summer,team,gold,silver,bronze,total,year,games_team
Barcelona 1992,1,Morocco,1,1,1,3,1992,Barcelona 1992 | Morocco
Barcelona 1992,1,Cuba,14,6,11,31,1992,Barcelona 1992 | Cuba
Barcelona 1992,1,Mongolia,0,0,2,2,1992,Barcelona 1992 | Mongolia
Albertville 1992,0,Luxembourg,0,2,0,2,1992,Albertville 1992 | Luxembourg
Barcelona 1992,1,Slovenia,0,0,2,2,1992,Barcelona 1992 | Slovenia
Albertville 1992,0,People's Republic of China,0,3,0,3,1992,Albertville 1992 | People's Republic of China
Lillehammer 1994,0,Australia,0,0,1,1,1994,Lillehammer 1994 | Australia
Lillehammer 1994,0,Sweden,2,1,0,3,1994,Lillehammer 1994 | Sweden
Lillehammer 1994,0,Great Britain,0,0,2,2,1994,Lillehammer 1994 | Great Britain
Lillehammer 1994,0,Belarus,0,2,0,2,1994,Lillehammer 1994 | Belarus
Lillehammer 1994,0,Kazakhstan,1,2,0,3,1994,Lillehammer 1994 | Kazakhstan
Lillehammer 1994,0,Slovenia,0,0,3,3,1994,Lillehammer 1994 | Slovenia
Lillehammer 1994,0,Ukraine,1,0,1,2,1994,Lillehammer 1994 | Ukraine
Lillehammer 1994,0,Uzbekistan,1,0,0,1,1994,Lillehammer 1994 | Uzbekistan
Lillehammer 1994,0,People's Republic of China,0,1,2,3,1994,Lillehammer 1994 | People's Republic of China
Lillehammer 1994,0,France,0,1,4,5,1994,Lillehammer 1994 | France
Lillehammer 1994,0,Japan,1,2,2,5,1994,Lillehammer 1994 | Japan
Lillehammer 1994,0,Germany,9,7,8,24,1994,Lillehammer 1994 | Germany
Lillehammer 1994,0,Russian Federation,11,8,4,23,1994,Lillehammer 1994 | Russian Federation
Lillehammer 1994,0,United States of America,6,5,2,13,1994,Lillehammer 1994 | United States of America
Lillehammer 1994,0,Norway,10,11,5,26,1994,Lillehammer 1994 | Norway
Lillehammer 1994,0,Republic of Korea,4,1,1,6,1994,Lillehammer 1994 | Republic of Korea
Lillehammer 1994,0,Netherlands,0,1,3,4,1994,Lillehammer 1994 | Netherlands
Lillehammer 1994,0,Italy,7,5,8,20,1994,Lillehammer 1994 | Italy
Lillehammer 1994,0,Canada,3,6,4,13,1994,Lillehammer 1994 | Canada
Lillehammer 1994,0,Switzerland,3,4,2,9,1994,Lillehammer 1994 | Switzerland
Lillehammer 1994,0,Austria,2,3,4,9,1994,Lillehammer 1994 | Austria
Lillehammer 1994,0,Finland,0,1,5,6,1994,Lillehammer 1994 | Finland
Atlanta 1996,1,Kenya,1,4,3,8,1996,Atlanta 1996 | Kenya
Atlanta 1996,1,Bahamas,0,1,0,1,1996,Atlanta 1996 | Bahamas
Atlanta 1996,1,Hungary,7,4,10,21,1996,Atlanta 1996 | Hungary
Atlanta 1996,1,India,0,0,1,1,1996,Atlanta 1996 | India
Atlanta 1996,1,Tunisia,0,0,1,1,1996,Atlanta 1996 | Tunisia
Atlanta 1996,1,Philippines,0,1,0,1,1996,Atlanta 1996 | Philippines
Atlanta 1996,1,Bulgaria,3,7,5,15,1996,Atlanta 1996 | Bulgaria
Atlanta 1996,1,"Hong Kong, China",1,0,0,1,1996,"Atlanta 1996 | Hong Kong, China"
Atlanta 1996,1,Syrian Arab Republic,1,0,0,1,1996,Atlanta 1996 | Syrian Arab Republic
Atlanta 1996,1,Denmark,4,1,1,6,1996,Atlanta 1996 | Denmark
Atlanta 1996,1,Slovenia,0,2,0,2,1996,Atlanta 1996 | Slovenia
Atlanta 1996,1,Namibia,0,2,0,2,1996,Atlanta 1996 | Namibia
Atlanta 1996,1,Spain,5,6,6,17,1996,Atlanta 1996 | Spain
Atlanta 1996,1,Slovakia,1,1,1,3,1996,Atlanta 1996 | Slovakia
Atlanta 1996,1,Islamic Republic of Iran,1,1,1,3,1996,Atlanta 1996 | Islamic Republic of Iran
Atlanta 1996,1,Mongolia,0,0,1,1,1996,Atlanta 1996 | Mongolia
Atlanta 1996,1,Turkey,4,1,1,6,1996,Atlanta 1996 | Turkey
Atlanta 1996,1,Jamaica,1,3,2,6,1996,Atlanta 1996 | Jamaica
Atlanta 1996,1,Ukraine,9,2,12,23,1996,Atlanta 1996 | Ukraine
Atlanta 1996,1,Argentina,0,2,1,3,1996,Atlanta 1996 | Argentina
Atlanta 1996,1,Thailand,1,0,1,2,1996,Atlanta 1996 | Thailand
Atlanta 1996,1,Cuba,9,8,8,25,1996,Atlanta 1996 | Cuba
Atlanta 1996,1,Germany,20,18,27,65,1996,Atlanta 1996 | Germany
Atlanta 1996,1,Netherlands,4,5,10,19,1996,Atlanta 1996 | Netherlands
Atlanta 1996,1,Russian Federation,26,21,16,63,1996,Atlanta 1996 | Russian Federation
Atlanta 1996,1,Belgium,2,2,2,6,1996,Atlanta 1996 | Belgium
Atlanta 1996,1,Ireland,3,0,1,4,1996,Atlanta 1996 | Ireland
Atlanta 1996,1,Czech Republic,4,3,4,11,1996,Atlanta 1996 | Czech Republic
Atlanta 1996,1,Nigeria,2,1,3,6,1996,Atlanta 1996 | Nigeria
Atlanta 1996,1,People's Republic of China,16,22,12,50,1996,Atlanta 1996 | People's Republic of China
Atlanta 1996,1,New Zealand,3,2,1,6,1996,Atlanta 1996 | New Zealand
Atlanta 1996,1,Georgia,0,0,2,2,1996,Atlanta 1996 | Georgia
Atlanta 1996,1,Morocco,0,0,2,2,1996,Atlanta 1996 | Morocco
Atlanta 1996,1,Trinidad and Tobago,0,0,2,2,1996,Atlanta 1996 | Trinidad and Tobago
Atlanta 1996,1,Kazakhstan,3,4,4,11,1996,Atlanta 1996 | Kazakhstan
Atlanta 1996,1,Azerbaijan,0,1,0,1,1996,Atlanta 1996 | Azerbaijan
Atlanta 1996,1,Chinese Taipei,0,1,0,1,1996,Atlanta 1996 | Chinese Taipei
Atlanta 1996,1,Republic of Korea,7,15,5,27,1996,Atlanta 1996 | Republic of Korea
Atlanta 1996,1,Tonga,0,1,0,1,1996,Atlanta 1996 | Tonga
Atlanta 1996,1,Zambia,0,1,0,1,1996,Atlanta 1996 | Zambia
Atlanta 1996,1,Latvia,0,1,0,1,1996,Atlanta 1996 | Latvia
Atlanta 1996,1,Finland,1,2,1,4,1996,Atlanta 1996 | Finland
Atlanta 1996,1,Malaysia,0,1,1,2,1996,Atlanta 1996 | Malaysia
Atlanta 1996,1,Republic of Moldova,0,1,1,2,1996,Atlanta 1996 | Republic of Moldova
Atlanta 1996,1,Uzbekistan,0,1,1,2,1996,Atlanta 1996 | Uzbekistan
Atlanta 1996,1,South Africa,3,1,1,5,1996,Atlanta 1996 | South Africa
Atlanta 1996,1,Ethiopia,2,0,1,3,1996,Atlanta 1996 | Ethiopia
Atlanta 1996,1,Algeria,2,0,1,3,1996,Atlanta 1996 | Algeria
Atlanta 1996,1,Puerto Rico,0,0,1,1,1996,Atlanta 1996 | Puerto Rico
Atlanta 1996,1,Uganda,0,0,1,1,1996,Atlanta 1996 | Uganda
Atlanta 1996,1,Sweden,2,4,2,8,1996,Atlanta 1996 | Sweden
Atlanta 1996,1,Mozambique,0,0,1,1,1996,Atlanta 1996 | Mozambique
Atlanta 1996,1,Mexico,0,0,1,1,1996,Atlanta 1996 | Mexico
Atlanta 1996,1,Romania,4,7,9,20,1996,Atlanta 1996 | Romania
Atlanta 1996,1,Japan,3,6,5,14,1996,Atlanta 1996 | Japan
Atlanta 1996,1,Italy,13,10,12,35,1996,Atlanta 1996 | Italy
Atlanta 1996,1,Democratic People's Republic of Korea,2,1,2,5,1996,Atlanta 1996 | Democratic People's Republic of Korea
Atlanta 1996,1,United States of America,44,32,25,101,1996,Atlanta 1996 | United States of America
Atlanta 1996,1,France,15,7,15,37,1996,Atlanta 1996 | France
Atlanta 1996,1,Israel,0,0,1,1,1996,Atlanta 1996 | Israel
Atlanta 1996,1,Burundi,1,0,0,1,1996,Atlanta 1996 | Burundi
Atlanta 1996,1,Canada,3,11,8,22,1996,Atlanta 1996 | Canada
Atlanta 1996,1,Serbia and Montenegro,1,1,2,4,1996,Atlanta 1996 | Serbia and Montenegro
Atlanta 1996,1,Indonesia,1,1,2,4,1996,Atlanta 1996 | Indonesia
Atlanta 1996,1,Brazil,3,3,9,15,1996,Atlanta 1996 | Brazil
Atlanta 1996,1,Greece,4,4,0,8,1996,Atlanta 1996 | Greece
Atlanta 1996,1,Costa Rica,1,0,0,1,1996,Atlanta 1996 | Costa Rica
Atlanta 1996,1,Poland,7,5,5,17,1996,Atlanta 1996 | Poland
Atlanta 1996,1,Croatia,1,1,0,2,1996,Atlanta 1996 | Croatia
Atlanta 1996,1,Great Britain,1,8,6,15,1996,Atlanta 1996 | Great Britain
Atlanta 1996,1,Ecuador,1,0,0,1,1996,Atlanta 1996 | Ecuador
Atlanta 1996,1,Lithuania,0,0,1,1,1996,Atlanta 1996 | Lithuania
Atlanta 1996,1,Norway,2,2,3,7,1996,Atlanta 1996 | Norway
Atlanta 1996,1,Australia,9,9,23,41,1996,Atlanta 1996 | Australia
Atlanta 1996,1,Belarus,1,6,8,15,1996,Atlanta 1996 | Belarus
Atlanta 1996,1,Austria,0,1,2,3,1996,Atlanta 1996 | Austria
Atlanta 1996,1,Switzerland,4,3,0,7,1996,Atlanta 1996 | Switzerland
Atlanta 1996,1,Armenia,1,1,0,2,1996,Atlanta 1996 | Armenia
Atlanta 1996,1,Portugal,1,0,1,2,1996,Atlanta 1996 | Portugal
Nagano 1998,0,Austria,3,5,9,17,1998,Nagano 1998 | Austria
Nagano 1998,0,Japan,5,1,4,10,1998,Nagano 1998 | Japan
Nagano 1998,0,Russian Federation,9,6,3,18,1998,Nagano 1998 | Russian Federation
Nagano 1998,0,Italy,2,6,2,10,1998,Nagano 1998 | Italy
Nagano 1998,0,Finland,2,4,6,12,1998,Nagano 1998 | Finland
Nagano 1998,0,Belgium,0,0,1,1,1998,Nagano 1998 | Belgium
Nagano 1998,0,Canada,6,5,4,15,1998,Nagano 1998 | Canada
Nagano 1998,0,Great Britain,0,0,1,1,1998,Nagano 1998 | Great Britain
Nagano 1998,0,Switzerland,2,2,3,7,1998,Nagano 1998 | Switzerland
Nagano 1998,0,Sweden,0,2,1,3,1998,Nagano 1998 | Sweden
Nagano 1998,0,Denmark,0,1,0,1,1998,Nagano 1998 | Denmark
Nagano 1998,0,Ukraine,0,1,0,1,1998,Nagano 1998 | Ukraine
Nagano 1998,0,Czech Republic,1,1,1,3,1998,Nagano 1998 | Czech Republic
Nagano 1998,0,Germany,12,9,8,29,1998,Nagano 1998 | Germany
Nagano 1998,0,Bulgaria,1,0,0,1,1998,Nagano 1998 | Bulgaria
Nagano 1998,0,Norway,10,10,5,25,1998,Nagano 1998 | Norway
Nagano 1998,0,Australia,0,0,1,1,1998,Nagano 1998 | Australia
Nagano 1998,0,Republic of Korea,3,1,2,6,1998,Nagano 1998 | Republic of Korea
Nagano 1998,0,Netherlands,5,4,2,11,1998,Nagano 1998 | Netherlands
Nagano 1998,0,People's Republic of China,0,6,2,8,1998,Nagano 1998 | People's Republic of China
Nagano 1998,0,Belarus,0,0,2,2,1998,Nagano 1998 | Belarus
Nagano 1998,0,France,2,1,5,8,1998,Nagano 1998 | France
Nagano 1998,0,United States of America,6,3,4,13,1998,Nagano 1998 | United States of America
Nagano 1998,0,Kazakhstan,0,0,2,2,1998,Nagano 1998 | Kazakhstan
Sydney 2000,1,Republic of Moldova,0,1,1,2,2000,Sydney 2000 | Republic of Moldova
Sydney 2000,1,Georgia,0,0,6,6,2000,Sydney 2000 | Georgia
Sydney 2000,1,Trinidad and Tobago,0,1,1,2,2000,Sydney 2000 | Trinidad and Tobago
Sydney 2000,1,Slovakia,1,3,1,5,2000,Sydney 2000 | Slovakia
Sydney 2000,1,Saudi Arabia,0,1,1,2,2000,Sydney 2000 | Saudi Arabia
Sydney 2000,1,Bulgaria,5,6,2,13,2000,Sydney 2000 | Bulgaria
Sydney 2000,1,Canada,3,3,8,14,2000,Sydney 2000 | Canada
Sydney 2000,1,Lithuania,2,0,3,5,2000,Sydney 2000 | Lithuania
Sydney 2000,1,Sweden,4,5,3,12,2000,Sydney 2000 | Sweden
Sydney 2000,1,Russian Federation,32,28,29,89,2000,Sydney 2000 | Russian Federation
Sydney 2000,1,Slovenia,2,0,0,2,2000,Sydney 2000 | Slovenia
Sydney 2000,1,Italy,13,8,13,34,2000,Sydney 2000 | Italy
Sydney 2000,1,Turkey,3,0,2,5,2000,Sydney 2000 | Turkey
Sydney 2000,1,Czech Republic,2,3,3,8,2000,Sydney 2000 | Czech Republic
Sydney 2000,1,Hungary,8,6,3,17,2000,Sydney 2000 | Hungary
Sydney 2000,1,Croatia,1,0,1,2,2000,Sydney 2000 | Croatia
Sydney 2000,1,Greece,4,6,3,13,2000,Sydney 2000 | Greece
Sydney 2000,1,Belarus,3,3,11,17,2000,Sydney 2000 | Belarus
Sydney 2000,1,Denmark,2,3,1,6,2000,Sydney 2000 | Denmark
Sydney 2000,1,Costa Rica,0,0,2,2,2000,Sydney 2000 | Costa Rica
Sydney 2000,1,Portugal,0,0,2,2,2000,Sydney 2000 | Portugal
Sydney 2000,1,People's Republic of China,28,16,14,58,2000,Sydney 2000 | People's Republic of China
Sydney 2000,1,Australia,16,25,17,58,2000,Sydney 2000 | Australia
Sydney 2000,1,United States of America,37,24,32,93,2000,Sydney 2000 | United States of America
Sydney 2000,1,Poland,6,5,3,14,2000,Sydney 2000 | Poland
Sydney 2000,1,Germany,13,17,26,56,2000,Sydney 2000 | Germany
Sydney 2000,1,Jamaica,0,6,3,9,2000,Sydney 2000 | Jamaica
Sydney 2000,1,Cuba,11,11,7,29,2000,Sydney 2000 | Cuba
Sydney 2000,1,Ethiopia,4,1,3,8,2000,Sydney 2000 | Ethiopia
Sydney 2000,1,Indonesia,1,3,2,6,2000,Sydney 2000 | Indonesia
Sydney 2000,1,Great Britain,11,10,7,28,2000,Sydney 2000 | Great Britain
Sydney 2000,1,Kenya,2,3,2,7,2000,Sydney 2000 | Kenya
Sydney 2000,1,France,13,14,11,38,2000,Sydney 2000 | France
Sydney 2000,1,Switzerland,1,6,2,9,2000,Sydney 2000 | Switzerland
Sydney 2000,1,Mexico,1,2,3,6,2000,Sydney 2000 | Mexico
Sydney 2000,1,Kazakhstan,3,4,0,7,2000,Sydney 2000 | Kazakhstan
Sydney 2000,1,Azerbaijan,2,0,1,3,2000,Sydney 2000 | Azerbaijan
Sydney 2000,1,Colombia,1,0,0,1,2000,Sydney 2000 | Colombia
Sydney 2000,1,New Zealand,1,0,3,4,2000,Sydney 2000 | New Zealand
Sydney 2000,1,Estonia,1,0,2,3,2000,Sydney 2000 | Estonia
Sydney 2000,1,Kyrgyzstan,0,0,1,1,2000,Sydney 2000 | Kyrgyzstan
Sydney 2000,1,Bahamas,2,0,1,3,2000,Sydney 2000 | Bahamas
Sydney 2000,1,Uzbekistan,1,1,2,4,2000,Sydney 2000 | Uzbekistan
Sydney 2000,1,Cameroon,1,0,0,1,2000,Sydney 2000 | Cameroon
Sydney 2000,1,Armenia,0,0,1,1,2000,Sydney 2000 | Armenia
Sydney 2000,1,Kuwait,0,0,1,1,2000,Sydney 2000 | Kuwait
Sydney 2000,1,North Macedonia,0,0,1,1,2000,Sydney 2000 | North Macedonia
Sydney 2000,1,Mozambique,1,0,0,1,2000,Sydney 2000 | Mozambique
Sydney 2000,1,Ireland,0,1,0,1,2000,Sydney 2000 | Ireland
Sydney 2000,1,Romania,11,6,9,26,2000,Sydney 2000 | Romania
Sydney 2000,1,Barbados,0,0,1,1,2000,Sydney 2000 | Barbados
Sydney 2000,1,Qatar,0,0,1,1,2000,Sydney 2000 | Qatar
Sydney 2000,1,South Africa,0,2,3,5,2000,Sydney 2000 | South Africa
Sydney 2000,1,Belgium,0,2,3,5,2000,Sydney 2000 | Belgium
Sydney 2000,1,Finland,2,1,1,4,2000,Sydney 2000 | Finland
Sydney 2000,1,Norway,4,3,3,10,2000,Sydney 2000 | Norway
Sydney 2000,1,Chile,0,0,1,1,2000,Sydney 2000 | Chile
Sydney 2000,1,Japan,5,8,5,18,2000,Sydney 2000 | Japan
Sydney 2000,1,Uruguay,0,1,0,1,2000,Sydney 2000 | Uruguay
Sydney 2000,1,Thailand,1,0,2,3,2000,Sydney 2000 | Thailand
Sydney 2000,1,Serbia and Montenegro,1,1,1,3,2000,Sydney 2000 | Serbia and Montenegro
Sydney 2000,1,Algeria,1,1,3,5,2000,Sydney 2000 | Algeria
Sydney 2000,1,Ukraine,3,10,10,23,2000,Sydney 2000 | Ukraine
Sydney 2000,1,Nigeria,1,2,0,3,2000,Sydney 2000 | Nigeria
Sydney 2000,1,Democratic People's Republic of Korea,0,1,3,4,2000,Sydney 2000 | Democratic People's Republic of Korea
Sydney 2000,1,Islamic Republic of Iran,3,0,1,4,2000,Sydney 2000 | Islamic Republic of Iran
Sydney 2000,1,Austria,2,1,0,3,2000,Sydney 2000 | Austria
Sydney 2000,1,Chinese Taipei,0,1,4,5,2000,Sydney 2000 | Chinese Taipei
Sydney 2000,1,Republic of Korea,8,10,10,28,2000,Sydney 2000 | Republic of Korea
Sydney 2000,1,Vietnam,0,1,0,1,2000,Sydney 2000 | Vietnam
Sydney 2000,1,Israel,0,0,1,1,2000,Sydney 2000 | Israel
Sydney 2000,1,Iceland,0,0,1,1,2000,Sydney 2000 | Iceland
Sydney 2000,1,India,0,0,1,1,2000,Sydney 2000 | India
Sydney 2000,1,Spain,3,3,5,11,2000,Sydney 2000 | Spain
Sydney 2000,1,Sri Lanka,0,1,0,1,2000,Sydney 2000 | Sri Lanka
Sydney 2000,1,Latvia,1,1,1,3,2000,Sydney 2000 | Latvia
Sydney 2000,1,Brazil,0,6,6,12,2000,Sydney 2000 | Brazil
Sydney 2000,1,Netherlands,12,9,4,25,2000,Sydney 2000 | Netherlands
Sydney 2000,1,Argentina,0,2,2,4,2000,Sydney 2000 | Argentina
Sydney 2000,1,Morocco,0,1,4,5,2000,Sydney 2000 | Morocco
Salt Lake City 2002,0,Russian Federation,5,4,4,13,2002,Salt Lake City 2002 | Russian Federation
Salt Lake City 2002,0,Slovenia,0,0,1,1,2002,Salt Lake City 2002 | Slovenia
Salt Lake City 2002,0,Switzerland,3,2,6,11,2002,Salt Lake City 2002 | Switzerland
Salt Lake City 2002,0,Great Britain,1,0,1,2,2002,Salt Lake City 2002 | Great Britain
Salt Lake City 2002,0,Republic of Korea,2,2,0,4,2002,Salt Lake City 2002 | Republic of Korea
Salt Lake City 2002,0,Netherlands,3,5,0,8,2002,Salt Lake City 2002 | Netherlands
Salt Lake City 2002,0,Finland,4,2,1,7,2002,Salt Lake City 2002 | Finland
Salt Lake City 2002,0,Germany,12,16,8,36,2002,Salt Lake City 2002 | Germany
Salt Lake City 2002,0,Austria,3,4,10,17,2002,Salt Lake City 2002 | Austria
Salt Lake City 2002,0,United States of America,10,13,11,34,2002,Salt Lake City 2002 | United States of America
Salt Lake City 2002,0,Sweden,0,2,5,7,2002,Salt Lake City 2002 | Sweden
Salt Lake City 2002,0,Australia,2,0,0,2,2002,Salt Lake City 2002 | Australia
Salt Lake City 2002,0,People's Republic of China,2,2,4,8,2002,Salt Lake City 2002 | People's Republic of China
Salt Lake City 2002,0,France,4,5,2,11,2002,Salt Lake City 2002 | France
Salt Lake City 2002,0,Poland,0,1,1,2,2002,Salt Lake City 2002 | Poland
Salt Lake City 2002,0,Bulgaria,0,1,2,3,2002,Salt Lake City 2002 | Bulgaria
Salt Lake City 2002,0,Japan,0,1,1,2,2002,Salt Lake City 2002 | Japan
Salt Lake City 2002,0,Croatia,3,1,0,4,2002,Salt Lake City 2002 | Croatia
Salt Lake City 2002,0,Italy,4,4,5,13,2002,Salt Lake City 2002 | Italy
Salt Lake City 2002,0,Belarus,0,0,1,1,2002,Salt Lake City 2002 | Belarus
Salt Lake City 2002,0,Norway,13,5,7,25,2002,Salt Lake City 2002 | Norway
Salt Lake City 2002,0,Estonia,1,1,1,3,2002,Salt Lake City 2002 | Estonia
Salt Lake City 2002,0,Canada,7,3,7,17,2002,Salt Lake City 2002 | Canada
Salt Lake City 2002,0,Czech Republic,1,2,0,3,2002,Salt Lake City 2002 | Czech Republic
Athens 2004,1,Lithuania,1,2,0,3,2004,Athens 2004 | Lithuania
Athens 2004,1,Great Britain,9,9,12,30,2004,Athens 2004 | Great Britain
Athens 2004,1,Indonesia,1,1,2,4,2004,Athens 2004 | Indonesia
Athens 2004,1,Serbia and Montenegro,0,2,0,2,2004,Athens 2004 | Serbia and Montenegro
Athens 2004,1,Finland,0,2,0,2,2004,Athens 2004 | Finland
Athens 2004,1,Croatia,1,2,2,5,2004,Athens 2004 | Croatia
Athens 2004,1,Austria,2,4,1,7,2004,Athens 2004 | Austria
Athens 2004,1,Slovenia,0,1,3,4,2004,Athens 2004 | Slovenia
Athens 2004,1,France,11,9,13,33,2004,Athens 2004 | France
Athens 2004,1,Denmark,2,1,5,8,2004,Athens 2004 | Denmark
Athens 2004,1,Morocco,2,1,0,3,2004,Athens 2004 | Morocco
Athens 2004,1,Dominican Republic,1,0,0,1,2004,Athens 2004 | Dominican Republic
Athens 2004,1,Cameroon,1,0,0,1,2004,Athens 2004 | Cameroon
Athens 2004,1,United Arab Emirates,1,0,0,1,2004,Athens 2004 | United Arab Emirates
Athens 2004,1,Chile,2,0,1,3,2004,Athens 2004 | Chile
Athens 2004,1,Spain,3,11,6,20,2004,Athens 2004 | Spain
Athens 2004,1,Italy,10,11,11,32,2004,Athens 2004 | Italy
Athens 2004,1,Mexico,0,3,1,4,2004,Athens 2004 | Mexico
Athens 2004,1,Latvia,0,4,0,4,2004,Athens 2004 | Latvia
Athens 2004,1,India,0,1,0,1,2004,Athens 2004 | India
Athens 2004,1,Sweden,4,2,1,7,2004,Athens 2004 | Sweden
Athens 2004,1,Thailand,3,1,4,8,2004,Athens 2004 | Thailand
Athens 2004,1,Republic of Korea,9,12,9,30,2004,Athens 2004 | Republic of Korea
Athens 2004,1,Paraguay,0,1,0,1,2004,Athens 2004 | Paraguay
Athens 2004,1,Japan,16,9,12,37,2004,Athens 2004 | Japan
Athens 2004,1,"Hong Kong, China",0,1,0,1,2004,"Athens 2004 | Hong Kong, China"
Athens 2004,1,Ethiopia,2,3,2,7,2004,Athens 2004 | Ethiopia
Athens 2004,1,Czech Republic,1,3,5,9,2004,Athens 2004 | Czech Republic
Athens 2004,1,Belgium,1,0,2,3,2004,Athens 2004 | Belgium
Athens 2004,1,Argentina,2,0,4,6,2004,Athens 2004 | Argentina
Athens 2004,1,Venezuela,0,0,2,2,2004,Athens 2004 | Venezuela
Athens 2004,1,Nigeria,0,0,2,2,2004,Athens 2004 | Nigeria
Athens 2004,1,Syrian Arab Republic,0,0,1,1,2004,Athens 2004 | Syrian Arab Republic
Athens 2004,1,Kenya,1,4,2,7,2004,Athens 2004 | Kenya
Athens 2004,1,Turkey,3,3,4,10,2004,Athens 2004 | Turkey
Athens 2004,1,Poland,3,2,5,10,2004,Athens 2004 | Poland
Athens 2004,1,Belarus,2,5,6,13,2004,Athens 2004 | Belarus
Athens 2004,1,South Africa,1,3,2,6,2004,Athens 2004 | South Africa
Athens 2004,1,Democratic People's Republic of Korea,0,4,1,5,2004,Athens 2004 | Democratic People's Republic of Korea
Athens 2004,1,Azerbaijan,1,0,4,5,2004,Athens 2004 | Azerbaijan
Athens 2004,1,Estonia,0,1,2,3,2004,Athens 2004 | Estonia
Athens 2004,1,Cuba,9,7,11,27,2004,Athens 2004 | Cuba
Athens 2004,1,Hungary,8,6,3,17,2004,Athens 2004 | Hungary
Athens 2004,1,Netherlands,4,9,9,22,2004,Athens 2004 | Netherlands
Athens 2004,1,New Zealand,3,2,0,5,2004,Athens 2004 | New Zealand
Athens 2004,1,Bulgaria,2,1,9,12,2004,Athens 2004 | Bulgaria
Athens 2004,1,Switzerland,1,1,3,5,2004,Athens 2004 | Switzerland
Athens 2004,1,Chinese Taipei,2,2,1,5,2004,Athens 2004 | Chinese Taipei
Athens 2004,1,Egypt,1,1,3,5,2004,Athens 2004 | Egypt
Athens 2004,1,Uzbekistan,2,1,2,5,2004,Athens 2004 | Uzbekistan
Athens 2004,1,Kazakhstan,1,4,3,8,2004,Athens 2004 | Kazakhstan
Athens 2004,1,Islamic Republic of Iran,2,2,2,6,2004,Athens 2004 | Islamic Republic of Iran
Athens 2004,1,Slovakia,2,2,2,6,2004,Athens 2004 | Slovakia
Athens 2004,1,Jamaica,2,1,2,5,2004,Athens 2004 | Jamaica
Athens 2004,1,Canada,3,6,3,12,2004,Athens 2004 | Canada
Athens 2004,1,Norway,5,0,1,6,2004,Athens 2004 | Norway
Athens 2004,1,United States of America,36,39,26,101,2004,Athens 2004 | United States of America
Athens 2004,1,Romania,8,5,6,19,2004,Athens 2004 | Romania
Athens 2004,1,Germany,13,16,20,49,2004,Athens 2004 | Germany
Athens 2004,1,Georgia,2,2,0,4,2004,Athens 2004 | Georgia
Athens 2004,1,Brazil,5,2,3,10,2004,Athens 2004 | Brazil
Athens 2004,1,Australia,17,16,17,50,2004,Athens 2004 | Australia
Athens 2004,1,Trinidad and Tobago,0,0,1,1,2004,Athens 2004 | Trinidad and Tobago
Athens 2004,1,Russian Federation,28,26,36,90,2004,Athens 2004 | Russian Federation
Athens 2004,1,Mongolia,0,0,1,1,2004,Athens 2004 | Mongolia
Athens 2004,1,Greece,6,6,4,16,2004,Athens 2004 | Greece
Athens 2004,1,Zimbabwe,1,1,1,3,2004,Athens 2004 | Zimbabwe
Athens 2004,1,Colombia,0,0,2,2,2004,Athens 2004 | Colombia
Athens 2004,1,Israel,1,0,1,2,2004,Athens 2004 | Israel
Athens 2004,1,Bahamas,1,0,1,2,2004,Athens 2004 | Bahamas
Athens 2004,1,Eritrea,0,0,1,1,2004,Athens 2004 | Eritrea
Athens 2004,1,Portugal,0,2,1,3,2004,Athens 2004 | Portugal
Athens 2004,1,People's Republic of China,32,17,14,63,2004,Athens 2004 | People's Republic of China
Athens 2004,1,Ukraine,8,5,9,22,2004,Athens 2004 | Ukraine
Beijing 2008,1,Poland,4,5,2,11,2008,Beijing 2008 | Poland
Beijing 2008,1,New Zealand,3,2,4,9,2008,Beijing 2008 | New Zealand
Beijing 2008,1,Tunisia,1,0,0,1,2008,Beijing 2008 | Tunisia
Beijing 2008,1,Japan,9,8,8,25,2008,Beijing 2008 | Japan
Beijing 2008,1,Norway,3,5,1,9,2008,Beijing 2008 | Norway
Beijing 2008,1,Jamaica,5,4,1,10,2008,Beijing 2008 | Jamaica
Beijing 2008,1,Romania,4,1,4,9,2008,Beijing 2008 | Romania
Beijing 2008,1,Cameroon,1,0,0,1,2008,Beijing 2008 | Cameroon
Beijing 2008,1,Republic of Korea,13,11,8,32,2008,Beijing 2008 | Republic of Korea
Beijing 2008,1,Kazakhstan,2,3,4,9,2008,Beijing 2008 | Kazakhstan
Beijing 2008,1,Italy,8,9,10,27,2008,Beijing 2008 | Italy
Beijing 2008,1,Hungary,3,5,2,10,2008,Beijing 2008 | Hungary
Beijing 2008,1,Egypt,0,0,2,2,2008,Beijing 2008 | Egypt
Beijing 2008,1,Ukraine,7,4,11,22,2008,Beijing 2008 | Ukraine
Beijing 2008,1,Panama,1,0,0,1,2008,Beijing 2008 | Panama
Beijing 2008,1,Cuba,3,10,17,30,2008,Beijing 2008 | Cuba
Beijing 2008,1,Brazil,3,4,10,17,2008,Beijing 2008 | Brazil
Beijing 2008,1,Kyrgyzstan,0,1,2,3,2008,Beijing 2008 | Kyrgyzstan
Beijing 2008,1,Croatia,0,2,3,5,2008,Beijing 2008 | Croatia
Beijing 2008,1,Lithuania,0,3,2,5,2008,Beijing 2008 | Lithuania
Beijing 2008,1,Sweden,0,4,1,5,2008,Beijing 2008 | Sweden
