games,summer,team,gold,silver,bronze,total,year,games_team
Berlin 1936,1,Denmark,0,2,3,5,1936,Berlin 1936 | Denmark
Garmisch-Partenkirchen 1936,0,Switzerland,1,2,0,3,1936,Garmisch-Partenkirchen 1936 | Switzerland
Berlin 1936,1,France,7,6,6,19,1936,Berlin 1936 | France
Berlin 1936,1,South Africa,0,1,0,1,1936,Berlin 1936 | South Africa
Berlin 1936,1,Germany,38,31,32,101,1936,Berlin 1936 | Germany
Berlin 1936,1,Latvia,0,1,1,2,1936,Berlin 1936 | Latvia
Berlin 1936,1,Sweden,6,5,10,21,1936,Berlin 1936 | Sweden
Berlin 1936,1,Great Britain,4,7,3,14,1936,Berlin 1936 | Great Britain
Berlin 1936,1,Philippines,0,0,1,1,1936,Berlin 1936 | Philippines
Berlin 1936,1,Portugal,0,0,1,1,1936,Berlin 1936 | Portugal
Garmisch-Partenkirchen 1936,0,Germany,3,3,0,6,1936,Garmisch-Partenkirchen 1936 | Germany
Berlin 1936,1,Australia,0,0,1,1,1936,Berlin 1936 | Australia
Berlin 1936,1,Italy,9,13,5,27,1936,Berlin 1936 | Italy
Garmisch-Partenkirchen 1936,0,Sweden,2,2,3,7,1936,Garmisch-Partenkirchen 1936 | Sweden
Berlin 1936,1,Argentina,2,2,3,7,1936,Berlin 1936 | Argentina
Berlin 1936,1,Turkey,1,0,1,2,1936,Berlin 1936 | Turkey
Garmisch-Partenkirchen 1936,0,France,0,0,1,1,1936,Garmisch-Partenkirchen 1936 | France
Berlin 1936,1,Poland,0,4,5,9,1936,Berlin 1936 | Poland
Berlin 1936,1,Estonia,2,2,3,7,1936,Berlin 1936 | Estonia
Berlin 1936,1,Norway,1,3,2,6,1936,Berlin 1936 | Norway
Garmisch-Partenkirchen 1936,0,Hungary,0,0,1,1,1936,Garmisch-Partenkirchen 1936 | Hungary
Garmisch-Partenkirchen 1936,0,Finland,1,2,3,6,1936,Garmisch-Partenkirchen 1936 | Finland
Berlin 1936,1,Canada,1,3,5,9,1936,Berlin 1936 | Canada
London 1948,1,Netherlands,5,2,9,16,1948,London 1948 | Netherlands
St. Moritz 1948,0,Great Britain,0,0,2,2,1948,St. Moritz 1948 | Great Britain
London 1948,1,Sweden,17,11,18,46,1948,London 1948 | Sweden
London 1948,1,Puerto Rico,0,0,1,1,1948,London 1948 | Puerto Rico
London 1948,1,Czechoslovakia,6,2,3,11,1948,London 1948 | Czechoslovakia
London 1948,1,United States of America,38,27,19,84,1948,London 1948 | United States of America
London 1948,1,Finland,10,8,6,24,1948,London 1948 | Finland
St. Moritz 1948,0,Canada,2,0,1,3,1948,St. Moritz 1948 | Canada
London 1948,1,South Africa,2,2,2,6,1948,London 1948 | South Africa
London 1948,1,Jamaica,1,2,0,3,1948,London 1948 | Jamaica
London 1948,1,Hungary,10,5,13,28,1948,London 1948 | Hungary
London 1948,1,Portugal,0,1,1,2,1948,London 1948 | Portugal
London 1948,1,Spain,0,1,0,1,1948,London 1948 | Spain
London 1948,1,Belgium,2,2,3,7,1948,London 1948 | Belgium
St. Moritz 1948,0,Austria,1,3,4,8,1948,St. Moritz 1948 | Austria
London 1948,1,Canada,0,2,2,4,1948,London 1948 | Canada
London 1948,1,Turkey,6,4,2,12,1948,London 1948 | Turkey
London 1948,1,Sri Lanka,0,1,0,1,1948,London 1948 | Sri Lanka
London 1948,1,Argentina,3,3,1,7,1948,London 1948 | Argentina
London 1948,1,Australia,2,6,5,13,1948,London 1948 | Australia
London 1948,1,Uruguay,0,1,1,2,1948,London 1948 | Uruguay
London 1948,1,Brazil,0,0,1,1,1948,London 1948 | Brazil
London 1948,1,Cuba,0,1,0,1,1948,London 1948 | Cuba
London 1948,1,Norway,1,3,3,7,1948,London 1948 | Norway
London 1948,1,Great Britain,4,16,7,27,1948,London 1948 | Great Britain
London 1948,1,Trinidad and Tobago,0,1,0,1,1948,London 1948 | Trinidad and Tobago
St. Moritz 1948,0,Czechoslovakia,0,1,0,1,1948,St. Moritz 1948 | Czechoslovakia
St. Moritz 1948,0,Hungary,0,1,0,1,1948,St. Moritz 1948 | Hungary
London 1948,1,Yugoslavia,0,2,0,2,1948,London 1948 | Yugoslavia
St. Moritz 1948,0,Sweden,4,3,3,10,1948,St. Moritz 1948 | Sweden
London 1948,1,Islamic Republic of Iran,0,0,1,1,1948,London 1948 | Islamic Republic of Iran
St. Moritz 1948,0,Norway,4,3,3,10,1948,St. Moritz 1948 | Norway
London 1948,1,Egypt,2,2,1,5,1948,London 1948 | Egypt
London 1948,1,France,11,6,15,32,1948,London 1948 | France
London 1948,1,Italy,9,12,10,31,1948,London 1948 | Italy
St. Moritz 1948,0,France,2,1,2,5,1948,St. Moritz 1948 | France
London 1948,1,Mexico,2,1,2,5,1948,London 1948 | Mexico
St. Moritz 1948,0,Belgium,1,1,0,2,1948,St. Moritz 1948 | Belgium
St. Moritz 1948,0,Finland,1,3,2,6,1948,St. Moritz 1948 | Finland
London 1948,1,Denmark,5,8,9,22,1948,London 1948 | Denmark
London 1948,1,Poland,1,0,1,2,1948,London 1948 | Poland
London 1948,1,Switzerland,5,12,6,23,1948,London 1948 | Switzerland
London 1948,1,Republic of Korea,0,0,2,2,1948,London 1948 | Republic of Korea
London 1948,1,Austria,2,2,4,8,1948,London 1948 | Austria
St. Moritz 1948,0,Italy,1,0,0,1,1948,St. Moritz 1948 | Italy
London 1948,1,Ireland,0,0,1,1,1948,London 1948 | Ireland
London 1948,1,Peru,1,0,0,1,1948,London 1948 | Peru
St. Moritz 1948,0,United States of America,3,4,2,9,1948,St. Moritz 1948 | United States of America
London 1948,1,India,1,0,0,1,1948,London 1948 | India
London 1948,1,Panama,0,0,2,2,1948,London 1948 | Panama
St. Moritz 1948,0,Switzerland,3,4,3,10,1948,St. Moritz 1948 | Switzerland
Helsinki 1952,1,Uruguay,0,0,2,2,1952,Helsinki 1952 | Uruguay
Oslo 1952,0,Finland,3,4,2,9,1952,Oslo 1952 | Finland
Helsinki 1952,1,Japan,1,6,2,9,1952,Helsinki 1952 | Japan
Helsinki 1952,1,Argentina,1,2,2,5,1952,Helsinki 1952 | Argentina
Helsinki 1952,1,Poland,1,2,1,4,1952,Helsinki 1952 | Poland
Helsinki 1952,1,Jamaica,2,3,0,5,1952,Helsinki 1952 | Jamaica
Oslo 1952,0,Great Britain,1,0,0,1,1952,Oslo 1952 | Great Britain
Helsinki 1952,1,Great Britain,1,2,8,11,1952,Helsinki 1952 | Great Britain
Oslo 1952,0,Canada,1,0,1,2,1952,Oslo 1952 | Canada
Helsinki 1952,1,Spain,0,1,0,1,1952,Helsinki 1952 | Spain
Helsinki 1952,1,Ireland,0,1,0,1,1952,Helsinki 1952 | Ireland
Helsinki 1952,1,Turkey,2,0,1,3,1952,Helsinki 1952 | Turkey
Helsinki 1952,1,New Zealand,1,0,2,3,1952,Helsinki 1952 | New Zealand
Helsinki 1952,1,Mexico,0,1,0,1,1952,Helsinki 1952 | Mexico
Helsinki 1952,1,Czechoslovakia,7,3,3,13,1952,Helsinki 1952 | Czechoslovakia
Helsinki 1952,1,Switzerland,2,6,6,14,1952,Helsinki 1952 | Switzerland
Helsinki 1952,1,Brazil,1,0,2,3,1952,Helsinki 1952 | Brazil
